ANGLO-CHINESE JUNIOR COLLEGE,WEST 1,25 DOVER CLOSE EAST,139745,1.3026072,103.7856243
ASSUMPTION ENGLISH SCHOOL,WEST 6,622 Upper Bukit Timah Road Assumption English School,678117,1.3018946,103.8002657
ASSUMPTION PATHWAY SCHOOL,WEST 6,30 Cashew Road,679697,1.3701112,103.7662588
BEACON PRIMARY SCHOOL,WEST 6,36 Bukit Panjang Ring Road,679944,1.38416195,103.7738046
BOON LAY GARDEN PRIMARY SCHOOL,WEST 8,20 BOON LAY DRIVE,649930,1.3428882,103.7129331
BOON LAY SECONDARY SCHOOL,WEST 3,11 JURONG WEST STREET 65,648354,1.3426946,103.7016908
BUKIT BATOK SECONDARY SCHOOL,WEST 7,50 BUKIT BATOK WEST AVE 8,658962,1.3484109,103.7407154
BUKIT PANJANG GOVT. HIGH SCHOOL,WEST 5,7 CHOA CHU KANG AVE 4,689809,1.38209905,103.7383207
BUKIT PANJANG PRIMARY SCHOOL,WEST 8,109 CASHEW ROAD,679676,1.37356595,103.7695455
BUKIT TIMAH PRIMARY SCHOOL,WEST 4,111 Lorong Kismis Bukit Timah Primary School,598112,1.33755125,103.7668307
BUKIT VIEW PRIMARY SCHOOL,WEST 4,18 BUKIT BATOK STREET 21,659634,1.3457048,103.7534816
BUKIT VIEW SECONDARY SCHOOL,WEST 4,16 BUKIT BATOK STREET 21,659633,1.34568435,103.7521749
CHIJ OUR LADY QUEEN OF PEACE,WEST 8,4 Chestnut Drive,679287,1.3664051,103.768197
CHUA CHU KANG PRIMARY SCHOOL,WEST 2,20 CHOA CHU KANG AVENUE 2,689905,1.37793775,103.7419841
CHUA CHU KANG SECONDARY SCHOOL,WEST 5,3 TECK WHYE CRESCENT,688845,1.38350835,103.7515471
CLEMENTI PRIMARY SCHOOL,WEST 1,8 CLEMENTI AVE 3,129903,1.31556955,103.7632088
CLEMENTI TOWN SECONDARY SCHOOL,WEST 1,10 CLEMENTI AVE 3,129904,1.31566085,103.7619065
COMMONWEALTH SECONDARY SCHOOL,WEST 7,698 WEST COAST ROAD,608784,1.31965635,103.7456599
CONCORD PRIMARY SCHOOL,WEST 2,3 CHOA CHU KANG AVE 4,689814,1.38027645,103.7363012
CORPORATION PRIMARY SCHOOL,WEST 8,31 JURONG WEST STREET 24,648347,1.35149865,103.7076769
CREST SECONDARY SCHOOL,WEST 8,561 JURONG EAST STREET 24,609561,1.34389145,103.742802
DAZHONG PRIMARY SCHOOL,WEST 4,35 BUKIT BATOK STREET 31,659441,1.3591826,103.7479679
DE LA SALLE SCHOOL,WEST 2,11 Choa Chu Kang St 52,689285,1.3950086,103.7432593
DUNEARN SECONDARY SCHOOL,WEST 2,247 Jalan Boon Lay,619522,1.36358455,103.7444805
FAJAR SECONDARY SCHOOL,WEST 8,58 Chestnut Drive,679301,1.37539165,103.764001
FRONTIER PRIMARY SCHOOL,WEST 3,20 Jurong West Street 61,648200,1.3369298,103.6996377
FUHUA PRIMARY SCHOOL,WEST 7,65 JURONG EAST STREET 13,609647,1.3364515,103.7364621
FUHUA SECONDARY SCHOOL,WEST 7,5 JURONG WEST STREET 41,649410,1.34730265,103.7269903
GREENRIDGE PRIMARY SCHOOL,WEST 5,11 JELAPANG ROAD,677744,1.3856276,103.7679832
GREENRIDGE SECONDARY SCHOOL,WEST 6,32 BUKIT PANJANG RING ROAD,679938,1.3825263,103.7738474
HENRY PARK PRIMARY SCHOOL,WEST 1,1 HOLLAND GROVE ROAD,278790,1.31730235,103.7842847
HILLGROVE SECONDARY SCHOOL,WEST 2,10 BUKIT BATOK STREET 52,659250,1.3533675,103.7529905
HONG KAH SECONDARY SCHOOL,WEST 4,931 JURONG WEST STREET 42,649370,1.3526492,103.7271367
HUA YI SECONDARY SCHOOL,WEST 4,60 JURONG WEST ST 42,649371,1.3520885,103.7216252
HWA CHONG INSTITUTION,WEST 6,661 BUKIT TIMAH ROAD,269734,1.32687415,103.8031679
JURONG JUNIOR COLLEGE,WEST 6,800 CORPORATION ROAD,649809,1.3507528,103.7128081
JURONG PRIMARY SCHOOL,WEST 4,320 JURONG EAST Street 32,609476,1.3487155,103.7330668
JURONG SECONDARY SCHOOL,WEST 6,31 YUAN CHING ROAD,618652,1.33030995,103.7239742
JURONG WEST PRIMARY SCHOOL,WEST 3,30 JURONG WEST ST 61,648368,1.33912895,103.6990553
JURONG WEST SECONDARY SCHOOL,WEST 3,61 JURONG WEST STREET 65,648348,1.3354553,103.7023951
JURONGVILLE SECONDARY SCHOOL,WEST 4,202 JURONG EAST AVENUE 1,609790,1.3520137,103.7291297
JUYING PRIMARY SCHOOL,WEST 3,31 JURONG WEST STREET 91,649037,1.33875125,103.6882517
JUYING SECONDARY SCHOOL,WEST 3,33 JURONG WEST STREET 91,649038,1.33828785,103.6872935
KEMING PRIMARY SCHOOL,WEST 4,90 BUKIT BATOK EAST AVENUE 6,659762,1.3454171,103.756366
KRANJI PRIMARY SCHOOL,WEST 8,11 CHOA CHU KANG STREET 54,689189,1.39393565,103.7471682
KRANJI SECONDARY SCHOOL,WEST 8,61 CHOA CHU KANG STREET 51,689333,1.3905053,103.7411421
LAKESIDE PRIMARY SCHOOL,WEST 7,161 Corporation Walk,618310,1.338320887,103.717972
LIANHUA PRIMARY SCHOOL,WEST 4,2 BUKIT BATOK STREET 52,659243,1.35394585,103.7540782
METHODIST GIRLS' SCHOOL (PRIMARY),WEST 3,11 Blackmore Drive,599986,1.34993195,103.8849238
METHODIST GIRLS' SCHOOL (SECONDARY),WEST 3,11 BLACKMORE DRIVE,599986,1.34993195,103.8856658
MILLENNIA INSTITUTE,WEST 7,60 Bukit Batok West Avenue 8,658965,1.3512884,103.7409876
NAN HUA HIGH SCHOOL,WEST 1,41 CLEMENTI AVENUE 1,129956,1.3083036,103.7690994
NAN HUA PRIMARY SCHOOL,WEST 1,30 JALAN LEMPENG,128806,1.31981545,103.7616253
NANYANG GIRLS' HIGH SCHOOL,WEST 6,2 LINDEN DRIVE,288683,1.33050835,103.802324
NANYANG PRIMARY SCHOOL,WEST 5,52 KING'S ROAD,268097,1.3204049,103.8079641
NEW TOWN SECONDARY SCHOOL,WEST 1,1020 DOVER ROAD,139657,1.30988355,103.7736014
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,WEST 1,20 Clementi Avenue 1,129957,1.3069962,103.7699912
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,WEST 5,7 PEI WAH AVENUE,597610,1.3380993,103.7762188
PIONEER JUNIOR COLLEGE,WEST 2,21 Teck Whye Walk,688258,1.38545185,103.7539236
PIONEER PRIMARY SCHOOL,WEST 3,23 JURONG WEST STREET 81,649076,1.3489146,103.6948087
PIONEER SECONDARY SCHOOL,WEST 3,21 JURONG WEST STREET 81,649075,1.34805365,103.6943918
PRINCESS ELIZABETH PRIMARY SCHOOL,WEST 7,30 BUKIT BATOK WEST AVENUE 3,659163,1.34921465,103.7409577
QIFA PRIMARY SCHOOL,WEST 1,50 WEST COAST AVENUE,128104,1.31280555,103.756965
REGENT SECONDARY SCHOOL,WEST 8,50 CHOA CHU KANG NORTH 5,689621,1.3934122,103.7510224
RIVER VALLEY HIGH SCHOOL,WEST 7,6 BOON LAY AVENUE,649961,1.3441441,103.707213
RULANG PRIMARY SCHOOL,WEST 7,6 JURONG WEST STREET 52,649295,1.3466077,103.718726
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",WEST 5,1 Technology Drive,138572,1.3131051,103.7737254
SHUQUN PRIMARY SCHOOL,WEST 7,8 JURONG WEST STREET 51,649332,1.3471254,103.7215907
SHUQUN SECONDARY SCHOOL,WEST 1,450 JURONG EAST STREET 21,609604,1.340467,103.7395649
SOUTH VIEW PRIMARY SCHOOL,WEST 2,6 Choa Chu Kang Central,689762,1.3829191,103.7445157
ST. ANTHONY'S PRIMARY SCHOOL,WEST 2,30 Bukit Batok St 32,659401,1.3606646,103.7483327
SWISS COTTAGE SECONDARY SCHOOL,WEST 2,3 BUKIT BATOK STREET 34,659322,1.36451995,103.7504348
TANGLIN SECONDARY SCHOOL,WEST 1,301 WEST COAST ROAD,127391,1.30983385,103.7580435
TECK WHYE PRIMARY SCHOOL,WEST 5,11 TECK WHYE WALK,688261,1.3838682,103.7536444
TECK WHYE SECONDARY SCHOOL,WEST 5,31 TECK WHYE CRESCENT,688848,1.3830944,103.7552235
UNITY PRIMARY SCHOOL,WEST 2,21 CHOA CHU KANG CRESCENT,688268,1.3892601,103.743728
UNITY SECONDARY SCHOOL,WEST 2,20 CHOA CHU KANG STREET 62,689143,1.39972215,103.7460308
WEST GROVE PRIMARY SCHOOL,WEST 3,1 JURONG WEST ST 72,649223,1.34468085,103.6989833
WEST SPRING PRIMARY SCHOOL,WEST 6,60 Bukit Panjang Ring Road,679946,1.3896262,103.7662281
WEST SPRING SECONDARY SCHOOL,WEST 5,61 SENJA ROAD,677737,1.38821585,103.7599532
WEST VIEW PRIMARY SCHOOL,WEST 5,31 SENJA ROAD,677742,1.383489,103.7600542
WESTWOOD PRIMARY SCHOOL,WEST 8,1 Jurong West Street 73,649188,1.34744235,103.700513
WESTWOOD SECONDARY SCHOOL,WEST 3,11 JURONG WEST STREET 25,648350,1.3535768,103.7017636
XINGNAN PRIMARY SCHOOL,WEST 3,5 JURONG WEST STREET 91,649036,1.34311895,103.6876676
YEW TEE PRIMARY SCHOOL,WEST 8,10 CHOA CHU KANG ST 64,689100,1.3969525,103.7511092
YUAN CHING SECONDARY SCHOOL,WEST 4,103 YUAN CHING ROAD,618654,1.34158285,103.7201328
YUHUA PRIMARY SCHOOL,WEST 1,158 JURONG EAST STREET 24,609558,1.3428913,103.7409217
YUHUA SECONDARY SCHOOL,WEST 7,35 JURONG WEST STREET 41,649406,1.3468843,103.7223605
YUSOF ISHAK SECONDARY SCHOOL,WEST 2,11 BUKIT BATOK STREET 25,658712,1.3426926,103.760015
ZHENGHUA PRIMARY SCHOOL,WEST 5,9 Fajar Road,679002,1.37942415,103.7696765
ZHENGHUA SECONDARY SCHOOL,WEST 6,91 SENJA ROAD,677741,1.3888488,103.7651766
